Time,value
10:21,-1
10:21,-1
10:21,-1
10:21,-1
10:21,-1
10:21,-1
10:21,-1
10:21,-1
10:21,-1
10:21,-1
10:21,-1
10:21,-1
10:21,-1
10:21,-1
10:21,-1
10:21,-1
10:22,-1
10:22,-1
10:22,-1
10:22,98.879311
10:22,-1
10:22,-1
10:22,-1
10:22,-1
10:22,-1
10:22,95.603447
10:22,-1
10:22,73.413795
10:22,69.275864
10:22,-1
10:22,97.689651
10:22,64.879311
10:22,70.241379
10:22,66.362068
10:22,-1
10:22,65.396553
10:22,-1
10:22,96
10:22,-1
10:22,79.775864
10:22,83.465515
10:22,84.965515
10:22,39.224136
10:22,-1
10:22,-1
10:22,-1
10:22,-1
10:22,-1
10:22,-1
10:22,-1
10:22,-1
10:22,-1
10:22,-1
10:22,-1
10:22,-1
10:22,-1
10:22,-1
10:22,-1
10:22,-1
10:23,-1
10:23,-1
10:23,-1
10:23,-1
10:23,-1
10:23,-1
10:23,-1
10:23,-1
10:23,-1
10:23,-1
10:23,-1
10:23,74.379311
10:23,71.965515
10:23,-1
10:23,74
10:23,68.396553
10:23,73
10:23,-1
10:23,-1
10:23,-1
10:23,-1
10:23,-1
10:23,-1
10:23,-1
10:23,-1
10:23,-1
10:23,64.620689
10:23,-1
10:23,-1
10:23,-1
10:23,-1
10:23,-1
10:23,-1
10:23,-1
10:23,-1
10:23,-1
10:23,-1
10:23,-1
10:23,-1
10:23,-1
10:23,-1
10:23,-1
10:23,-1
10:23,-1
10:23,-1
10:23,-1
10:23,-1
10:23,-1
10:23,-1
10:23,-1
10:23,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,98.637932
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:24,-1
10:25,-1
10:25,-1
10:25,-1
10:25,-1
10:25,-1
10:25,-1
10:25,-1
10:25,-1
10:25,-1
10:25,91.413795
10:31,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:32,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:33,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,52.362068
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:34,-1
10:35,-1
10:35,-1
10:35,-1
10:35,-1
10:35,-1
10:35,-1
10:35,-1
10:35,-1
10:35,-1
10:35,-1
10:35,-1
10:35,-1
10:35,-1
10:35,-1
10:35,-1
10:35,-1
10:35,-1
10:35,-1
10:35,-1
10:35,-1
10:35,-1
10:35,-1
10:35,-1
10:35,-1
10:35,-1
10:35,-1
10:35,-1
10:35,-1
10:35,-1
10:35,-1
10:35,-1
10:35,-1
10:35,-1
10:35,-1
10:35,-1
10:35,-1
10:35,-1
10:35,-1
10:35,-1
10:35,-1
10:35,-1
10:35,-1
10:35,-1
10:35,-1
10:35,-1
10:35,-1
10:35,67.431038
10:35,-1
10:35,-1
10:35,91.137932
10:35,79.431038
10:35,-1
10:35,-1
10:36,93.224136
10:36,-1
10:36,-1
10:36,-1
10:36,-1
10:36,-1
10:36,-1
10:36,95.448273
10:36,-1
10:36,93.172417
10:36,-1
10:36,-1
10:36,-1
10:36,-1
10:36,-1
10:36,-1
10:36,-1
10:36,-1
10:36,-1
10:36,-1
10:36,78.189651
10:36,-1
10:36,80.827583
10:36,80.310349
10:36,89.258621
10:37,77.655174
10:37,83.051727
10:37,-1
10:37,-1
10:37,-1
10:37,-1
10:37,-1
10:37,-1
10:37,-1
10:37,-1
10:37,-1
10:37,-1
10:37,-1
10:37,-1
10:37,-1
10:37,-1
10:37,-1
10:37,-1
10:37,-1
10:37,-1
10:37,-1
10:37,-1
10:37,-1
10:37,-1
10:37,-1
10:37,-1
10:37,-1
10:37,-1
10:37,-1
10:37,83.862068
10:37,85.017242
10:37,83.103447
10:37,85.155174
10:37,83.620689
10:37,85.224136
10:37,-1
10:37,85.068962
10:37,83.672417
10:37,84.551727
10:37,98.068962
10:37,-1
10:37,71.293106
10:37,-1
10:38,83.655174
10:38,81.982758
10:38,-1
10:38,-1
10:38,-1
10:38,83.827583
10:38,83.155174
10:38,-1
10:38,71.637932
10:38,82.913795
10:38,85.224136
10:38,-1
10:38,82.706894
10:38,-1
10:38,96.948273
10:38,-1
10:38,-1
10:38,-1
10:38,-1
10:38,-1
10:38,-1
10:38,67.293106
10:38,-1
10:38,91
10:38,86.310349
10:38,84.120689
10:38,-1
10:38,81.517242
10:38,83.189651
10:38,-1
10:38,-1
10:38,78.172417
10:38,76.775864
10:38,-1
10:38,-1
10:38,77.5
10:38,95.206894
10:38,70.482758
10:38,-1
10:39,87.517242
10:39,87.862068
10:39,88.293106
10:39,78.517242
10:39,-1
10:39,-1
10:39,-1
10:39,-1
10:39,-1
10:39,-1
10:39,-1
10:39,-1
10:39,-1
10:39,-1
10:39,-1
10:39,-1
10:39,-1
10:39,-1
10:39,-1
10:39,-1
10:39,-1
10:39,-1
10:39,-1
10:39,-1
10:39,-1
10:39,-1
10:39,-1
10:39,-1
10:39,-1
10:39,-1
10:39,-1
10:39,-1
10:39,-1
10:39,-1
10:39,-1
10:39,-1
10:39,-1
10:39,-1
10:39,-1
10:39,-1
10:39,-1
10:39,-1
10:39,-1
10:39,-1
10:39,-1
10:39,-1
10:39,-1
10:39,-1
10:39,-1
10:39,-1
10:39,-1
10:39,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:40,-1
10:41,-1
10:41,-1
10:41,-1
10:41,-1
10:41,-1
10:41,-1
10:41,-1
10:41,-1
10:41,-1
10:41,-1
10:41,-1
10:41,-1
10:41,-1
10:41,-1
10:41,-1
10:41,-1
10:41,-1
10:41,-1
10:41,-1
10:41,-1
10:41,-1
10:41,-1
10:41,-1
10:41,-1
10:41,-1
10:41,-1
10:41,-1
10:41,-1
10:41,-1
10:41,-1
10:41,-1
10:41,-1
10:41,-1
10:41,-1
10:41,-1
10:41,-1
10:41,-1
10:41,-1
10:41,-1
10:41,-1
10:41,-1
10:41,-1
10:41,-1
10:41,-1
10:41,-1
10:41,-1
10:41,-1
10:41,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:42,-1
10:43,-1
10:43,-1
10:43,-1
10:43,-1
10:43,-1
10:43,-1
10:43,-1
10:43,-1
10:43,-1
