time,co2,motion,distance,distance_n,co2_n
10:21,612,1,-1.0,0.0,0.23121387283236994
10:21,612,1,-1.0,0.0,0.23121387283236994
10:21,612,1,-1.0,0.0,0.23121387283236994
10:21,610,1,-1.0,0.0,0.22928709055876687
10:21,610,1,-1.0,0.0,0.22928709055876687
10:21,610,1,-1.0,0.0,0.22928709055876687
10:21,602,1,-1.0,0.0,0.22157996146435452
10:21,602,1,-1.0,0.0,0.22157996146435452
10:21,602,0,-1.0,0.0,0.22157996146435452
10:21,602,0,-1.0,0.0,0.22157996146435452
10:21,619,0,-1.0,0.0,0.23795761078998073
10:21,619,0,-1.0,0.0,0.23795761078998073
10:21,619,0,-1.0,0.0,0.23795761078998073
10:21,619,1,-1.0,0.0,0.23795761078998073
10:21,620,1,-1.0,0.0,0.23892100192678228
10:21,620,1,-1.0,0.0,0.23892100192678228
10:22,620,1,-1.0,0.0,0.23892100192678228
10:22,620,1,-1.0,0.0,0.23892100192678228
10:22,620,1,-1.0,0.0,0.23892100192678228
10:22,620,1,98.879311,0.9900871646516302,0.23892100192678228
10:22,620,1,98.879311,0.9900871646516302,0.23892100192678228
10:22,622,1,98.879311,0.9900871646516302,0.24084778420038536
10:22,622,1,98.879311,0.9900871646516302,0.24084778420038536
10:22,622,1,98.879311,0.9900871646516302,0.24084778420038536
10:22,623,1,98.879311,0.9900871646516302,0.2418111753371869
10:22,623,1,95.603447,0.9576140641959777,0.2418111753371869
10:22,623,0,95.603447,0.9576140641959777,0.2418111753371869
10:22,624,0,73.413795,0.7376516974823509,0.24277456647398843
10:22,624,1,69.275864,0.6966330687964354,0.24277456647398843
10:22,624,1,69.275864,0.6966330687964354,0.24277456647398843
10:22,624,1,97.689651,0.9782942609510883,0.24277456647398843
10:22,624,1,64.879311,0.6530507628070537,0.24277456647398843
10:22,623,1,70.24137900000001,0.7062040600178168,0.2418111753371869
10:22,622,1,66.36206800000001,0.6677490888096966,0.24084778420038536
10:22,622,1,66.36206800000001,0.6677490888096966,0.24084778420038536
10:22,622,1,65.396553,0.6581780975883151,0.24084778420038536
10:22,619,0,65.396553,0.6581780975883151,0.23795761078998073
10:22,619,0,96.0,0.9615450287918799,0.23795761078998073
10:22,618,0,96.0,0.9615450287918799,0.23699421965317918
10:22,618,1,79.775864,0.8007178399543192,0.23699421965317918
10:22,618,1,83.465515,0.8372927428102676,0.23699421965317918
10:22,618,1,84.965515,0.8521619958328224,0.23699421965317918
10:22,618,1,39.224136,0.39873523719843806,0.23699421965317918
10:22,616,1,39.224136,0.39873523719843806,0.2350674373795761
10:22,616,1,39.224136,0.39873523719843806,0.2350674373795761
10:22,616,1,39.224136,0.39873523719843806,0.2350674373795761
10:22,614,1,39.224136,0.39873523719843806,0.23314065510597304
10:22,614,1,39.224136,0.39873523719843806,0.23314065510597304
10:22,614,1,39.224136,0.39873523719843806,0.23314065510597304
10:22,613,0,39.224136,0.39873523719843806,0.2321772639691715
10:22,613,0,39.224136,0.39873523719843806,0.2321772639691715
10:22,613,0,39.224136,0.39873523719843806,0.2321772639691715
10:22,613,0,39.224136,0.39873523719843806,0.2321772639691715
10:22,612,0,39.224136,0.39873523719843806,0.23121387283236994
10:22,612,0,39.224136,0.39873523719843806,0.23121387283236994
10:22,612,1,39.224136,0.39873523719843806,0.23121387283236994
10:22,612,1,39.224136,0.39873523719843806,0.23121387283236994
10:22,610,1,39.224136,0.39873523719843806,0.22928709055876687
10:22,610,1,39.224136,0.39873523719843806,0.22928709055876687
10:23,610,1,39.224136,0.39873523719843806,0.22928709055876687
10:23,610,1,39.224136,0.39873523719843806,0.22928709055876687
10:23,609,1,39.224136,0.39873523719843806,0.22832369942196531
10:23,609,1,39.224136,0.39873523719843806,0.22832369942196531
10:23,609,1,39.224136,0.39873523719843806,0.22832369942196531
10:23,609,1,39.224136,0.39873523719843806,0.22832369942196531
10:23,605,1,39.224136,0.39873523719843806,0.22447013487475914
10:23,605,1,39.224136,0.39873523719843806,0.22447013487475914
10:23,605,1,39.224136,0.39873523719843806,0.22447013487475914
10:23,602,0,39.224136,0.39873523719843806,0.22157996146435452
10:23,602,0,39.224136,0.39873523719843806,0.22157996146435452
10:23,602,0,74.379311,0.7472226986165676,0.22157996146435452
10:23,599,0,71.965515,0.7232951363040138,0.2186897880539499
10:23,599,0,71.965515,0.7232951363040138,0.2186897880539499
10:23,599,0,74.0,0.7434626511277421,0.2186897880539499
10:23,596,1,68.396553,0.6879166036334249,0.21579961464354527
10:23,596,1,73.0,0.7335498157793723,0.21579961464354527
10:23,593,1,73.0,0.7335498157793723,0.21290944123314065
10:23,593,1,73.0,0.7335498157793723,0.21290944123314065
10:23,593,1,73.0,0.7335498157793723,0.21290944123314065
10:23,590,1,73.0,0.7335498157793723,0.21001926782273603
10:23,590,1,73.0,0.7335498157793723,0.21001926782273603
10:23,590,1,73.0,0.7335498157793723,0.21001926782273603
10:23,590,1,73.0,0.7335498157793723,0.21001926782273603
10:23,587,1,73.0,0.7335498157793723,0.2071290944123314
10:23,587,1,73.0,0.7335498157793723,0.2071290944123314
10:23,587,0,64.620689,0.6504870855035876,0.2071290944123314
10:23,583,0,64.620689,0.6504870855035876,0.20327552986512523
10:23,583,0,64.620689,0.6504870855035876,0.20327552986512523
10:23,583,0,64.620689,0.6504870855035876,0.20327552986512523
10:23,581,0,64.620689,0.6504870855035876,0.20134874759152216
10:23,581,0,64.620689,0.6504870855035876,0.20134874759152216
10:23,581,0,64.620689,0.6504870855035876,0.20134874759152216
