time,motion,distance,co2,label,timestamp
11:28:55,0,-1.0,809,0,1495121335.0
11:28:56,0,-1.0,809,0,1495121336.0
11:28:57,0,-1.0,767,0,1495121337.0
11:28:58,0,-1.0,767,0,1495121338.0
11:28:59,0,-1.0,767,0,1495121339.0
11:29:00,0,-1.0,767,0,1495121340.0
11:29:01,0,-1.0,734,0,1495121341.0
11:29:02,0,-1.0,734,0,1495121342.0
11:29:03,0,-1.0,734,0,1495121343.0
11:29:04,0,-1.0,734,0,1495121344.0
11:29:05,0,-1.0,708,0,1495121345.0
11:29:06,0,-1.0,708,0,1495121346.0
11:29:07,0,-1.0,708,0,1495121347.0
11:29:08,0,-1.0,700,0,1495121348.0
11:29:09,0,-1.0,700,0,1495121349.0
11:29:10,0,-1.0,700,0,1495121350.0
11:29:11,0,-1.0,700,0,1495121351.0
11:29:12,0,-1.0,685,0,1495121352.0
11:29:13,0,-1.0,685,0,1495121353.0
11:29:14,0,-1.0,685,0,1495121354.0
11:29:15,0,-1.0,685,0,1495121355.0
11:29:16,0,-1.0,670,0,1495121356.0
11:29:17,0,-1.0,670,0,1495121357.0
11:29:18,0,-1.0,670,0,1495121358.0
11:29:19,0,-1.0,670,0,1495121359.0
11:29:20,0,-1.0,660,0,1495121360.0
11:29:21,0,-1.0,660,0,1495121361.0
11:29:22,0,-1.0,660,0,1495121362.0
11:29:23,0,-1.0,650,0,1495121363.0
11:29:24,0,-1.0,650,0,1495121364.0
11:29:25,0,-1.0,650,0,1495121365.0
11:29:26,0,-1.0,650,0,1495121366.0
11:29:27,0,-1.0,644,0,1495121367.0
11:29:28,0,-1.0,644,0,1495121368.0
11:29:29,0,-1.0,644,0,1495121369.0
11:29:30,0,-1.0,644,0,1495121370.0
11:29:31,0,-1.0,642,0,1495121371.0
11:29:32,0,-1.0,642,0,1495121372.0
11:29:33,0,-1.0,642,0,1495121373.0
11:29:34,0,-1.0,642,0,1495121374.0
11:29:35,0,-1.0,640,0,1495121375.0
11:29:36,0,-1.0,640,0,1495121376.0
11:29:37,0,-1.0,640,0,1495121377.0
11:29:38,0,-1.0,641,0,1495121378.0
11:29:39,0,-1.0,641,0,1495121379.0
11:29:40,0,-1.0,641,0,1495121380.0
11:29:41,0,-1.0,641,0,1495121381.0
11:29:42,0,-1.0,638,0,1495121382.0
11:29:43,0,-1.0,638,0,1495121383.0
11:29:44,0,-1.0,638,0,1495121384.0
11:29:45,0,-1.0,638,0,1495121385.0
11:29:46,0,-1.0,638,0,1495121386.0
11:29:47,0,-1.0,638,0,1495121387.0
11:29:48,0,-1.0,638,0,1495121388.0
11:29:49,0,-1.0,638,0,1495121389.0
11:29:50,0,-1.0,638,0,1495121390.0
11:29:51,0,-1.0,638,0,1495121391.0
11:29:52,0,-1.0,638,0,1495121392.0
11:29:53,0,-1.0,639,0,1495121393.0
11:29:54,0,-1.0,639,0,1495121394.0
11:29:55,0,-1.0,639,0,1495121395.0
11:29:56,0,-1.0,639,0,1495121396.0
11:29:57,0,-1.0,639,0,1495121397.0
11:29:58,0,-1.0,639,0,1495121398.0
11:29:59,0,-1.0,639,0,1495121399.0
